old_id,old_path,new_id,new_path,phase,area,topic
BD-ADR-001,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-001.md,BD-SYS-ADR-001,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-001.md,BD,SYS,ADR
BD-ADR-002,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-002.md,BD-SYS-ADR-002,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-002.md,BD,SYS,ADR
BD-ADR-003,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-003.md,BD-SYS-ADR-003,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-003.md,BD,SYS,ADR
BD-ADR-004,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-004.md,BD-SYS-ADR-004,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-004.md,BD,SYS,ADR
BD-ADR-005,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-005.md,BD-SYS-ADR-005,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-005.md,BD,SYS,ADR
BD-ADR-006,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-006.md,BD-SYS-ADR-006,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-006.md,BD,SYS,ADR
BD-ADR-007,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-007.md,BD-SYS-ADR-007,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-007.md,BD,SYS,ADR
BD-ADR-008,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-008.md,BD-SYS-ADR-008,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-008.md,BD,SYS,ADR
BD-ADR-009,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-009.md,BD-SYS-ADR-009,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-009.md,BD,SYS,ADR
BD-ADR-010,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-010.md,BD-SYS-ADR-010,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-010.md,BD,SYS,ADR
BD-ADR-011,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-011.md,BD-SYS-ADR-011,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-011.md,BD,SYS,ADR
BD-ADR-012,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-012.md,BD-SYS-ADR-012,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-012.md,BD,SYS,ADR
BD-ADR-013,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-013.md,BD-SYS-ADR-013,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-013.md,BD,SYS,ADR
BD-ADR-014,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-014.md,BD-SYS-ADR-014,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-014.md,BD,SYS,ADR
BD-ADR-015,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-015.md,BD-SYS-ADR-015,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-015.md,BD,SYS,ADR
BD-ADR-016,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-016.md,BD-SYS-ADR-016,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-016.md,BD,SYS,ADR
BD-ADR-017,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-017.md,BD-SYS-ADR-017,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-017.md,BD,SYS,ADR
BD-ADR-018,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-018.md,BD-SYS-ADR-018,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-018.md,BD,SYS,ADR
BD-ADR-019,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-019.md,BD-SYS-ADR-019,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-019.md,BD,SYS,ADR
BD-ADR-020,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-020.md,BD-SYS-ADR-020,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-020.md,BD,SYS,ADR
BD-ADR-021,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-021.md,BD-SYS-ADR-021,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-021.md,BD,SYS,ADR
BD-ADR-022,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-022.md,BD-SYS-ADR-022,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-022.md,BD,SYS,ADR
BD-ADR-023,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-023.md,BD-SYS-ADR-023,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-023.md,BD,SYS,ADR
BD-ADR-024,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-024.md,BD-SYS-ADR-024,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-024.md,BD,SYS,ADR
BD-ADR-025,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-025.md,BD-SYS-ADR-025,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-025.md,BD,SYS,ADR
BD-ADR-026,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-026.md,BD-SYS-ADR-026,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-026.md,BD,SYS,ADR
BD-ADR-027,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-027.md,BD-SYS-ADR-027,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-027.md,BD,SYS,ADR
BD-ADR-028,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-028.md,BD-SYS-ADR-028,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-028.md,BD,SYS,ADR
BD-API-001,docs/2.基本設計(BD)/41.API/BD-API-001.md,BD-APP-API-001,docs/2.基本設計(BD)/02.アプリ(APP)/31.API(API)/BD-APP-API-001.md,BD,APP,API
BD-API-002,docs/2.基本設計(BD)/41.API/BD-API-002.md,BD-APP-API-002,docs/2.基本設計(BD)/02.アプリ(APP)/31.API(API)/BD-APP-API-002.md,BD,APP,API
BD-API-003,docs/2.基本設計(BD)/41.API/BD-API-003.md,BD-APP-API-003,docs/2.基本設計(BD)/02.アプリ(APP)/31.API(API)/BD-APP-API-003.md,BD,APP,API
BD-API-004,docs/2.基本設計(BD)/41.API/BD-API-004.md,BD-APP-API-004,docs/2.基本設計(BD)/02.アプリ(APP)/31.API(API)/BD-APP-API-004.md,BD,APP,API
BD-API-005,docs/2.基本設計(BD)/41.API/BD-API-005.md,BD-APP-API-005,docs/2.基本設計(BD)/02.アプリ(APP)/31.API(API)/BD-APP-API-005.md,BD,APP,API
BD-ARCH-001,docs/2.基本設計(BD)/21.アーキテクチャ概要/BD-ARCH-001.md,BD-SYS-ARCH-001,docs/2.基本設計(BD)/01.全体構成(SYS)/11.アーキテクチャ概要(ARCH)/BD-SYS-ARCH-001.md,BD,SYS,ARCH
BD-ARCH-002,docs/2.基本設計(BD)/21.アーキテクチャ概要/BD-ARCH-002.md,BD-SYS-ARCH-002,docs/2.基本設計(BD)/01.全体構成(SYS)/11.アーキテクチャ概要(ARCH)/BD-SYS-ARCH-002.md,BD,SYS,ARCH
BD-ARCH-003,docs/2.基本設計(BD)/21.アーキテクチャ概要/BD-ARCH-003.md,BD-SYS-ARCH-003,docs/2.基本設計(BD)/01.全体構成(SYS)/11.アーキテクチャ概要(ARCH)/BD-SYS-ARCH-003.md,BD,SYS,ARCH
BD-ARCH-004,docs/2.基本設計(BD)/21.アーキテクチャ概要/BD-ARCH-004.md,BD-SYS-ARCH-004,docs/2.基本設計(BD)/01.全体構成(SYS)/11.アーキテクチャ概要(ARCH)/BD-SYS-ARCH-004.md,BD,SYS,ARCH
BD-ARCH-005,docs/2.基本設計(BD)/21.アーキテクチャ概要/BD-ARCH-005.md,BD-SYS-ARCH-005,docs/2.基本設計(BD)/01.全体構成(SYS)/11.アーキテクチャ概要(ARCH)/BD-SYS-ARCH-005.md,BD,SYS,ARCH
BD-ARCH-006,docs/2.基本設計(BD)/21.アーキテクチャ概要/BD-ARCH-006.md,BD-SYS-ARCH-006,docs/2.基本設計(BD)/01.全体構成(SYS)/11.アーキテクチャ概要(ARCH)/BD-SYS-ARCH-006.md,BD,SYS,ARCH
BD-BUILD-001,docs/2.基本設計(BD)/53.ビルド/BD-BUILD-001.md,BD-DEV-PIPE-001,docs/2.基本設計(BD)/04.開発(DEV)/21.CI_CD(PIPE)/BD-DEV-PIPE-001.md,BD,DEV,PIPE
BD-CM-001,docs/2.基本設計(BD)/52.構成管理/BD-CM-001.md,BD-INF-CM-001,docs/2.基本設計(BD)/03.インフラ(INF)/22.IaC/構成管理(IAC_CM)/BD-INF-CM-001.md,BD,INF,CM
BD-DATA-001,docs/2.基本設計(BD)/31.データアーキテクチャ/BD-DATA-001.md,BD-APP-DATA-001,docs/2.基本設計(BD)/02.アプリ(APP)/21.データ(DATA)/BD-APP-DATA-001.md,BD,APP,DATA
BD-DEP-001,docs/2.基本設計(BD)/54.デプロイ/BD-DEP-001.md,BD-INF-DEP-001,docs/2.基本設計(BD)/03.インフラ(INF)/31.デプロイ(DEP)/BD-INF-DEP-001.md,BD,INF,DEP
BD-DEP-002,docs/2.基本設計(BD)/54.デプロイ/BD-DEP-002.md,BD-INF-DEP-002,docs/2.基本設計(BD)/03.インフラ(INF)/31.デプロイ(DEP)/BD-INF-DEP-002.md,BD,INF,DEP
BD-DEP-003,docs/2.基本設計(BD)/54.デプロイ/BD-DEP-003.md,BD-INF-DEP-003,docs/2.基本設計(BD)/03.インフラ(INF)/31.デプロイ(DEP)/BD-INF-DEP-003.md,BD,INF,DEP
BD-DEP-004,docs/2.基本設計(BD)/54.デプロイ/BD-DEP-004.md,BD-INF-DEP-004,docs/2.基本設計(BD)/03.インフラ(INF)/31.デプロイ(DEP)/BD-INF-DEP-004.md,BD,INF,DEP
BD-DEP-005,docs/2.基本設計(BD)/54.デプロイ/BD-DEP-005.md,BD-INF-DEP-005,docs/2.基本設計(BD)/03.インフラ(INF)/31.デプロイ(DEP)/BD-INF-DEP-005.md,BD,INF,DEP
BD-DEP-006,docs/2.基本設計(BD)/54.デプロイ/BD-DEP-006.md,BD-INF-DEP-006,docs/2.基本設計(BD)/03.インフラ(INF)/31.デプロイ(DEP)/BD-INF-DEP-006.md,BD,INF,DEP
BD-ENV-001,docs/2.基本設計(BD)/51.環境/BD-ENV-001.md,BD-DEV-ENV-001,docs/2.基本設計(BD)/04.開発(DEV)/11.開発環境(ENV)/BD-DEV-ENV-001.md,BD,DEV,ENV
BD-ENV-002,docs/2.基本設計(BD)/51.環境/BD-ENV-002.md,BD-DEV-ENV-002,docs/2.基本設計(BD)/04.開発(DEV)/11.開発環境(ENV)/BD-DEV-ENV-002.md,BD,DEV,ENV
BD-ERD-001,docs/2.基本設計(BD)/31.データアーキテクチャ/BD-ERD-001.md,BD-APP-DATA-002,docs/2.基本設計(BD)/02.アプリ(APP)/21.データ(DATA)/BD-APP-DATA-002.md,BD,APP,DATA
BD-INF-001,docs/2.基本設計(BD)/22.インフラアーキテクチャ(INF)/BD-INF-001.md,BD-INF-PLAT-001,docs/2.基本設計(BD)/03.インフラ(INF)/21.基盤サービス(PLAT)/BD-INF-PLAT-001.md,BD,INF,PLAT
BD-INF-002,docs/2.基本設計(BD)/22.インフラアーキテクチャ(INF)/BD-INF-002.md,BD-INF-ENV-001,docs/2.基本設計(BD)/03.インフラ(INF)/11.環境/アカウント/ネットワーク(ENV_NET)/BD-INF-ENV-001.md,BD,INF,ENV
BD-INF-003,docs/2.基本設計(BD)/22.インフラアーキテクチャ(INF)/BD-INF-003.md,BD-INF-NET-001,docs/2.基本設計(BD)/03.インフラ(INF)/11.環境/アカウント/ネットワーク(ENV_NET)/BD-INF-NET-001.md,BD,INF,NET
BD-INF-004,docs/2.基本設計(BD)/22.インフラアーキテクチャ(INF)/BD-INF-004.md,BD-INF-SEC-001,docs/2.基本設計(BD)/03.インフラ(INF)/51.セキュリティ(SEC)/BD-INF-SEC-001.md,BD,INF,SEC
BD-INF-005,docs/2.基本設計(BD)/22.インフラアーキテクチャ(INF)/BD-INF-005.md,BD-INF-MON-004,docs/2.基本設計(BD)/03.インフラ(INF)/41.監視(MON)/BD-INF-MON-004.md,BD,INF,MON
BD-INF-006,docs/2.基本設計(BD)/22.インフラアーキテクチャ(INF)/BD-INF-006.md,BD-INF-PLAT-002,docs/2.基本設計(BD)/03.インフラ(INF)/21.基盤サービス(PLAT)/BD-INF-PLAT-002.md,BD,INF,PLAT
BD-INF-007,docs/2.基本設計(BD)/22.インフラアーキテクチャ(INF)/BD-INF-007.md,BD-INF-IAC-001,docs/2.基本設計(BD)/03.インフラ(INF)/22.IaC/構成管理(IAC_CM)/BD-INF-IAC-001.md,BD,INF,IAC
BD-MON-001,docs/2.基本設計(BD)/53.監視/BD-MON-001.md,BD-INF-MON-001,docs/2.基本設計(BD)/03.インフラ(INF)/41.監視(MON)/BD-INF-MON-001.md,BD,INF,MON
BD-MON-002,docs/2.基本設計(BD)/53.監視/BD-MON-002.md,BD-INF-MON-002,docs/2.基本設計(BD)/03.インフラ(INF)/41.監視(MON)/BD-INF-MON-002.md,BD,INF,MON
BD-MON-003,docs/2.基本設計(BD)/53.監視/BD-MON-003.md,BD-INF-MON-003,docs/2.基本設計(BD)/03.インフラ(INF)/41.監視(MON)/BD-INF-MON-003.md,BD,INF,MON
BD-QUAL-001,docs/2.基本設計(BD)/62.品質特性/BD-QUAL-001.md,BD-SYS-QUAL-001,docs/2.基本設計(BD)/01.全体構成(SYS)/21.品質特性(QUAL)/BD-SYS-QUAL-001.md,BD,SYS,QUAL
BD-RET-001,docs/2.基本設計(BD)/31.データアーキテクチャ/BD-RET-001.md,BD-APP-DATA-003,docs/2.基本設計(BD)/02.アプリ(APP)/21.データ(DATA)/BD-APP-DATA-003.md,BD,APP,DATA
BD-SEC-001,docs/2.基本設計(BD)/61.セキュリティ/BD-SEC-001.md,BD-SYS-SEC-001,docs/2.基本設計(BD)/01.全体構成(SYS)/22.セキュリティ(SEC)/BD-SYS-SEC-001.md,BD,SYS,SEC
BD-TST-001,docs/2.基本設計(BD)/71.テスト戦略/BD-TST-001.md,BD-DEV-TEST-001,docs/2.基本設計(BD)/04.開発(DEV)/31.テスト戦略(TEST)/BD-DEV-TEST-001.md,BD,DEV,TEST
BD-UI-001,docs/2.基本設計(BD)/42.UI/BD-UI-001.md,BD-APP-UI-001,docs/2.基本設計(BD)/02.アプリ(APP)/41.UI(UI)/BD-APP-UI-001.md,BD,APP,UI
BD-UI-002,docs/2.基本設計(BD)/42.UI/BD-UI-002.md,BD-APP-UI-002,docs/2.基本設計(BD)/02.アプリ(APP)/41.UI(UI)/BD-APP-UI-002.md,BD,APP,UI
BD-UI-003,docs/2.基本設計(BD)/42.UI/BD-UI-003.md,BD-APP-UI-003,docs/2.基本設計(BD)/02.アプリ(APP)/41.UI(UI)/BD-APP-UI-003.md,BD,APP,UI
BD-UI-004,docs/2.基本設計(BD)/42.UI/BD-UI-004.md,BD-APP-UI-004,docs/2.基本設計(BD)/02.アプリ(APP)/41.UI(UI)/BD-APP-UI-004.md,BD,APP,UI
DD-ALG-001,docs/3.詳細設計(DD)/51.アルゴリズム/DD-ALG-001.md,DD-APP-ALG-001,docs/3.詳細設計(DD)/02.アプリ(APP)/51.アルゴリズム(ALG)/DD-APP-ALG-001.md,DD,APP,ALG
